Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1933,6,10,11,26,0,-86.25,17.25,0,1,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1933,6,16,0,57,9.1,-112.135,25.993,0,15,0,0,0,0,0,0,0,5.7,159,0,0,0,0,5.7,164
1933,7,10,3,22,3.9,-103.947,18.367,0,15,0,0,0,0,0,0,0,6.4,159,0,0,0,0,6.4,164
1933,9,27,17,47,2.9,-117.021,31.226,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4,168
1933,10,29,16,13,3.8,-115.679,31.201,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4.1,168
1933,12,13,21,23,45,-104.5,19.5,7; 32,1,7,0,0,6.4,7,6.5,32; 105,6.6,43,0,0,0,0,6.6,164
1934,1,19,9,55,53.6,-108.893,23.038,0,15,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1934,1,28,19,10,3,-100,17,7,1,7,0,0,6.8,7; 105,0,0,6.9,91,0,0,0,0,6.9,164
1934,5,14,13,14,0,-115,27,0,1,0,0,0,5.5,132,0,0,0,0,0,0,0,0,5.6,165
1934,5,19,10,47,0,-91.25,14.75,0,120,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1934,6,12,9,32,0,-96,14.75,0,1,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1934,7,27,2,25,0,-92.5,16,0,50,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1934,8,26,1,31,0,-108,22,0,1,0,0,0,5.7,132,0,0,0,0,0,0,0,0,5.8,165
1934,8,26,1,31,31.3,-108.046,22.677,0,15,0,0,0,0,0,0,0,5.9,159,0,0,0,0,5.9,164
1934,10,29,2,34,47.7,-110.247,26.051,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1934,11,25,8,18,30.8,-116.074,31.501,0,6,0,0,0,0,0,0,0,0,0,0,0,5.1,155,5.1,168
1934,11,30,2,5,16,-105.3,19,2; 7,1,7,0,0,7,12; 16; 32,7.2,7,7.1,43,0,0,0,0,7.1,164
1934,12,3,2,38,31.8,-88.988,14.81,0,15,0,0,0,0,0,0,0,6.3,159,0,0,0,0,6.3,164
1934,12,24,14,35,37.9,-90.615,14.039,0,30,0,0,0,0,0,0,0,6,159,0,0,0,0,6,164
1934,12,31,18,45,45,-114.75,32,12,10,47,0,0,7.1,12,0,0,0,0,0,0,6.4,43,7.3,165
1935,5,1,0,7,25.2,-116.655,31.55,0,6,0,0,0,0,0,0,0,0,0,0,0,4.2,155,4.1,168
1935,6,29,6,48,54,-103.5,18.75,7,33,7,0,0,6.9,7,0,0,6.8,43,0,0,0,0,6.8,164
1935,8,4,2,24,20.9,-97.961,16.29,0,25,0,0,0,0,0,0,0,5.8,159,0,0,0,0,5.8,164
1935,10,29,10,17,27.6,-117.587,31.731,0,6,0,0,0,0,0,0,0,0,0,0,0,5,155,5,168
1935,12,14,22,5,18.7,-92.48,14.78,10; 33; 20,1,0,0,0,7.3,10; 16,0,0,7.3,43,0,0,0,0,7.3,164
1936,4,27,6,31,0,-87,17,0,1,0,0,0,5.6,132,0,0,0,0,0,0,0,0,5.7,165
1936,4,29,8,50,32.5,-116.05,31.168,0,6,0,0,0,0,0,0,0,0,0,0,0,4.7,155,4.6,168
1936,7,31,17,41,0,-109.75,24.75,0,1,0,0,0,5.7,132,0,0,0,0,0,0,0,0,5.8,165
1936,7,31,17,41,12.6,-110.2,23.821,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1936,10,12,17,7,51,-115.829,32.962,0,6,0,0,0,0,0,0,0,0,0,0,0,4.1,155,4.1,168
1936,11,19,21,10,24.2,-90.572,13.8,0,45,0,0,0,0,0,0,0,6.8,159,0,0,0,0,6.8,164
1936,12,20,2,43,27,-88.545,13.505,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1936,12,25,20,4,10.2,-105.288,18.215,0,15,0,0,0,0,0,0,0,6.1,159,0,0,0,0,6.1,164
1936,12,29,13,59,57,-92.712,13.509,0,15,0,0,0,6.3,131,0,0,6.4,163,0,0,0,0,6.4,164
1937,1,11,13,21,0,-94.5,16,0,110,0,0,0,6,132,0,0,0,0,0,0,0,0,6,165
1937,2,27,1,29,18.4,-116.599,31.78,0,6,0,0,0,0,0,0,0,0,0,0,0,4.9,155,4.9,168
1937,3,25,16,49,0,-116.5,33.5,0,1,0,0,0,6,132,0,0,0,0,0,0,6.6,43,6,165
1937,5,28,15,35,0,-93,17,34,150,89,0,0,6.5,102,0,0,0,0,0,0,0,0,6.7,165
1937,6,8,22,29,0,-93,16,0,200,0,0,0,6.2,132,0,0,0,0,0,0,0,0,6.2,165
1937,7,11,17,19,32.3,-108.462,20.681,0,15,0,0,0,0,0,0,0,6.2,159,0,0,0,0,6.2,164
1937,7,26,3,47,11,-96.4,18.4,2; 7,85,27; 7,0,0,7.2,12,7.3,27; 28,0,0,0,0,0,0,7.4,165
1937,9,15,23,48,53.3,-91.273,14.594,0,15,0,0,0,0,0,0,0,6.4,159,0,0,0,0,6.4,164
1937,10,5,6,21,24.2,-108.663,22.973,0,10,0,0,0,0,0,0,0,6.4,159,0,0,0,0,6.4,164
1937,10,6,9,47,18,-99.167,17.783,34,100,89,0,0,6.9,89; 102,0,0,0,0,0,0,0,0,7.1,165
1937,12,15,9,58,42.2,-115.72,32.887,0,6,0,0,0,0,0,0,0,0,0,0,0,4.2,155,4.1,168
1937,12,22,3,37,21,-105.333,17.167,34,15,89,0,0,6.5,90,0,0,6.5,43,0,0,0,0,6.5,164
1937,12,23,13,17,58.5,-98.07,17.1,2; 7; 15,18,13,0,0,7.5,12; 16; 13; 4,7.7,7; 41,7.5,107,0,0,0,0,7.5,164
1937,12,25,6,3,25,-97.8,15.68,7,1,7,0,0,6.5,7,0,0,0,0,0,0,0,0,6.7,165
1938,1,2,22,27,18.2,-98.37,16.35,7,1,7,0,0,6.3,7,7.3,105,6.5,43,0,0,0,0,6.5,164
1938,5,11,14,44,51.2,-101.433,17.083,34,20,89,0,0,0,0,0,0,6.5,91,0,0,0,0,6.5,164
1938,6,6,2,42,42.1,-115.191,32.273,0,6,0,0,0,0,0,0,0,0,0,0,0,4.9,155,4.9,168
1938,6,28,19,17,42,-100.383,18.2,34,110,89,0,0,6.5,102,0,0,0,0,0,0,0,0,6.7,165
